id,email,phoneNumber,rating,createdAt
118484fb-76ee-4a78-8f9a-50a04a85d6ef,tyrone.nader@hotmail.com,(513) 440-4765,1.7,2025-04-16T15:38:05.324485535+03:00
b4a56adb-3f38-496b-83bc-1b830e0f1e2d,trent.nicolas@gmail.com,1-704-971-2236,2.3,2025-04-16T15:38:05.326740416+03:00
f29b9a96-ee87-4c3e-aef2-b2bb03b373ae,mohamed.wiza@hotmail.com,1-216-361-3455,4.7,2025-04-16T15:38:05.326947869+03:00
58ef2747-e097-48ec-a64f-98a7b4c2a376,kary.hermann@yahoo.com,310-661-2667,2.8,2025-04-16T15:38:05.327267194+03:00
fd5ffbed-7d1b-4217-92c4-c7302d1a3a48,brian.okuneva@gmail.com,217.740.8238,3.4,2025-04-16T15:38:05.327469808+03:00
3b9f51fa-4c7f-4444-b6ef-1629d385d040,maude.kuvalis@gmail.com,(559) 254-4956,3.7,2025-04-16T15:38:05.327635882+03:00
f00a18df-b5fb-4cdb-8fe2-50e7456d8efa,isaiah.mraz@yahoo.com,(914) 308-3475,4.3,2025-04-16T15:38:05.327810783+03:00
80ed525e-0fe0-4c91-914c-cab14663078f,felton.sawayn@gmail.com,1-410-662-9902,3.0,2025-04-16T15:38:05.327997076+03:00
41669df3-c774-4776-865a-98646a887285,carie.schuster@yahoo.com,831-760-0531,4.0,2025-04-16T15:38:05.328180684+03:00
d16c7f06-f07f-490d-accf-c20a7498a515,keesha.yundt@gmail.com,351-708-6368,1.8,2025-04-16T15:38:05.328368590+03:00
20ff61ae-194f-49f8-a96e-2a2e4aa5c8e8,jimmy.wyman@gmail.com,727-256-4795,3.4,2025-04-16T15:38:05.328537259+03:00
f600e0d9-1756-4b74-af3e-7668f2d86ea6,eli.schumm@gmail.com,1-719-928-5478,3.4,2025-04-16T15:38:05.328714605+03:00
76239391-7e0b-4ec4-bd4e-f9fc6e9dcf83,isaac.mclaughlin@gmail.com,321-810-6437,2.5,2025-04-16T15:38:05.328899225+03:00
f56f8891-6f57-4dfb-b795-0d4e7384c221,wilton.douglas@hotmail.com,(702) 970-3378,5.0,2025-04-16T15:38:05.329098863+03:00
122f38a7-7098-44aa-9538-3a84c235f3b2,margurite.cassin@yahoo.com,(213) 607-5613,1.4,2025-04-16T15:38:05.329307979+03:00
ea27e6f7-a9f6-4e5e-943a-0059048b2236,ted.lowe@yahoo.com,941-906-6218,1.4,2025-04-16T15:38:05.329721052+03:00
38f23358-b388-46c1-84e9-13674d4753ac,micheal.balistreri@hotmail.com,(212) 267-7895,3.7,2025-04-16T15:38:05.329957169+03:00
fdbefcfb-d848-4ed9-8288-4689c9892758,oswaldo.bode@hotmail.com,651.561.4181,3.5,2025-04-16T15:38:05.330109227+03:00
3c63786b-320f-4fd0-92ea-1a6dc54ccfd6,dotty.batz@hotmail.com,(701) 913-5433,3.7,2025-04-16T15:38:05.330251777+03:00
